order_year,order_month,order_monthname,city,category,GMV
2024,7,July,Ahmedabad,Books,110449.0
2024,7,July,Ahmedabad,Electronics,6231837.0
2024,7,July,Ahmedabad,Fashion,672491.0
2024,7,July,Ahmedabad,Grocery,117559.0
2024,7,July,Ahmedabad,Home & Kitchen,1341740.0
2024,7,July,Bangalore,Books,352312.0
2024,7,July,Bangalore,Electronics,20898122.0
2024,7,July,Bangalore,Fashion,1860491.0
2024,7,July,Bangalore,Grocery,377786.0
2024,7,July,Bangalore,Home & Kitchen,4147855.0
2024,7,July,Chandigarh,Books,106478.0
2024,7,July,Chandigarh,Electronics,5835426.0
2024,7,July,Chandigarh,Fashion,429987.0
2024,7,July,Chandigarh,Grocery,84651.0
2024,7,July,Chandigarh,Home & Kitchen,650127.0
2024,7,July,Chennai,Books,199767.0
2024,7,July,Chennai,Electronics,14595078.0
2024,7,July,Chennai,Fashion,1385901.0
2024,7,July,Chennai,Grocery,239849.0
2024,7,July,Chennai,Home & Kitchen,2748335.0
2024,7,July,Delhi,Books,308205.0
2024,7,July,Delhi,Electronics,22734530.0
2024,7,July,Delhi,Fashion,2552763.0
2024,7,July,Delhi,Grocery,462557.0
2024,7,July,Delhi,Home & Kitchen,3913962.0
2024,7,July,Hyderabad,Books,165541.0
2024,7,July,Hyderabad,Electronics,15785827.0
2024,7,July,Hyderabad,Fashion,1369315.0
2024,7,July,Hyderabad,Grocery,256580.0
2024,7,July,Hyderabad,Home & Kitchen,2840555.0
2024,7,July,Jaipur,Books,111711.0
2024,7,July,Jaipur,Electronics,5158287.0
2024,7,July,Jaipur,Fashion,479173.0
2024,7,July,Jaipur,Grocery,101882.0
2024,7,July,Jaipur,Home & Kitchen,1082118.0
2024,7,July,Kochi,Books,51042.0
2024,7,July,Kochi,Electronics,3955925.0
2024,7,July,Kochi,Fashion,215803.0
2024,7,July,Kochi,Grocery,40650.0
2024,7,July,Kochi,Home & Kitchen,656651.0
2024,7,July,Kolkata,Books,156359.0
2024,7,July,Kolkata,Electronics,12054808.0
2024,7,July,Kolkata,Fashion,1133910.0
