city,GMV_2024,GMV_2025,YoY_change_cr,YoY_pct
Ahmedabad,57038199.0,55700719.0,-0.13,-2.34
Bangalore,163905452.0,163979651.0,0.01,0.05
Chandigarh,36055994.0,34578956.0,-0.15,-4.1
Chennai,108108067.0,101381350.0,-0.67,-6.22
Delhi,174568724.0,181848963.0,0.73,4.17
Hyderabad,118523643.0,120129787.0,0.16,1.36
Jaipur,46631729.0,44207446.0,-0.24,-5.2
Kochi,24110449.0,20284980.0,-0.38,-15.87
Kolkata,80556564.0,75976499.0,-0.46,-5.69
Lucknow,43797211.0,45307412.0,0.15,3.45
Mumbai,197625975.0,204137937.0,0.65,3.3
Pune,86745678.0,90608147.0,0.39,4.45
