order_id,carrier,ship_to_city,delivery_status,shipping_cost,diff_hours,customer_id,order_year,order_month,order_monthname,city,is_delayed
ORD000001,Ekart,Delhi,OnTime,95.33,29.69,C08689,2024,7,July,Delhi,0
ORD000002,Delhivery,Kochi,Late_1_2d,109.57,36.3,C12048,2024,7,July,Kochi,1
ORD000003,Delhivery,Kolkata,OnTime,77.16,31.16,C10589,2024,7,July,Kolkata,0
ORD000004,Ekart,Ahmedabad,OnTime,56.16,31.28,C11558,2024,7,July,Ahmedabad,0
ORD000005,InHouse,Mumbai,OnTime,40.27,13.33,C05977,2024,7,July,Mumbai,0
ORD000006,Delhivery,Chennai,OnTime,106.84,34.93,C00994,2024,7,July,Chennai,0
ORD000007,InHouse,Mumbai,OnTime,36.81,19.3,C08307,2024,7,July,Mumbai,0
ORD000009,BlueDart,Bangalore,OnTime,120.32,16.06,C15080,2024,7,July,Bangalore,0
ORD000010,InHouse,Delhi,OnTime,47.69,24.61,C23967,2024,7,July,Delhi,0
ORD000012,Delhivery,Lucknow,Late_3_5d,77.26,150.21,C11631,2024,7,July,Lucknow,1
ORD000013,InHouse,Delhi,OnTime,45.78,18.67,C07950,2024,7,July,Delhi,0
ORD000015,Delhivery,Pune,OnTime,126.43,19.81,C18033,2024,7,July,Pune,0
ORD000016,Ekart,Chennai,Late_1_2d,79.93,36.9,C00794,2024,7,July,Chennai,1
ORD000017,Ekart,Mumbai,OnTime,102.61,14.44,C19768,2024,7,July,Mumbai,0
ORD000018,Delhivery,Pune,Late_1_2d,69.08,35.81,C20816,2024,7,July,Pune,1
ORD000019,Delhivery,Delhi,OnTime,124.31,19.57,C17170,2024,7,July,Delhi,0
ORD000020,BlueDart,Delhi,OnTime,69.91,29.19,C06760,2024,7,July,Delhi,0
ORD000021,InHouse,Delhi,OnTime,51.61,18.35,C23128,2024,7,July,Delhi,0
ORD000022,BlueDart,Hyderabad,InTransit,80.35,,C16339,2024,7,July,Hyderabad,0
ORD000023,Delhivery,Pune,OnTime,59.94,16.53,C24296,2024,7,July,Pune,0
ORD000025,BlueDart,Ahmedabad,OnTime,118.6,14.95,C20589,2024,7,July,Ahmedabad,0
ORD000026,Delhivery,Delhi,OnTime,63.39,32.81,C05477,2024,7,July,Delhi,0
ORD000028,InHouse,Hyderabad,OnTime,68.41,14.05,C19542,2024,7,July,Hyderabad,0
ORD000029,Delhivery,Chennai,OnTime,107.23,34.06,C22367,2024,7,July,Chennai,0
ORD000030,Delhivery,Mumbai,Late_1_2d,113.45,69.3,C19518,2024,7,July,Mumbai,1
ORD000031,BlueDart,Hyderabad,InTransit,147.69,,C06448,2024,7,July,Hyderabad,0
ORD000032,Ekart,Chennai,OnTime,83.75,25.92,C05878,2024,7,July,Chennai,0
ORD000033,InHouse,Mumbai,OnTime,51.36,34.94,C02247,2024,7,July,Mumbai,0
ORD000035,Ekart,Mumbai,OnTime,74.32,13.98,C11687,2024,7,July,Mumbai,0
ORD000036,Ekart,Ahmedabad,OnTime,70.02,27.36,C05583,2024,7,July,Ahmedabad,0
ORD000037,Delhivery,Chennai,OnTime,110.96,18.66,C13663,2024,7,July,Chennai,0
ORD000038,BlueDart,Bangalore,OnTime,152.3,34.34,C04671,2024,7,July,Bangalore,0
ORD000039,Delhivery,Hyderabad,OnTime,86.52,16.25,C09760,2024,7,July,Hyderabad,0
ORD000040,BlueDart,Ahmedabad,OnTime,110.97,22.61,C04041,2024,7,July,Ahmedabad,0
ORD000041,BlueDart,Kochi,OnTime,104.77,21.04,C18946,2024,7,July,Kochi,0
ORD000042,BlueDart,Mumbai,OnTime,90.62,26.74,C18983,2024,7,July,Mumbai,0
ORD000043,BlueDart,Lucknow,OnTime,99.92,26.8,C21798,2024,7,July,Lucknow,0
ORD000044,InHouse,Mumbai,OnTime,82.71,11.81,C13417,2024,7,July,Mumbai,0
ORD000045,BlueDart,Kolkata,InTransit,144.51,,C15731,2024,7,July,Kolkata,0
ORD000046,InHouse,Mumbai,InTransit,63.77,,C15914,2024,7,July,Mumbai,0
ORD000047,Delhivery,Chennai,OnTime,110.12,21.36,C04321,2024,7,July,Chennai,0
