order_year,order_month,order_monthname,GMV
2024,7,July,194561564.0
2024,8,August,194832277.0
2024,9,September,186364791.0
2024,10,October,190639228.0
2024,11,November,184720074.0
2024,12,December,186549751.0
2025,1,January,189911685.0
2025,2,February,176686798.0
2025,3,March,192612052.0
2025,4,April,180771429.0
2025,5,May,188407669.0
2025,6,June,187795184.0
2025,7,July,189565741.0
2025,8,August,195667973.0
2025,9,September,185108741.0
2025,10,October,194416855.0
2025,11,November,191826945.0
2025,12,December,181555592.0
