order_year,order_month,order_monthname,total_customers,first_time_customers,repeat_customers,total_orders,bad_orders,repeat_purchase_rate,first_purchase_rate,bad_order_rate
2024,7,July,4947,4516,431,5634,777,8.71,91.29,13.79
2024,8,August,4890,3491,1116,5551,701,22.82,71.39,12.63
2024,9,September,4930,2734,1716,5595,737,34.81,55.46,13.17
2024,10,October,5102,2274,2263,5791,772,44.36,44.57,13.33
2024,11,November,4849,1714,2564,5504,695,52.88,35.35,12.63
2024,12,December,4952,1440,2977,5719,773,60.12,29.08,13.52
2025,1,January,4898,1122,3233,5604,693,66.01,22.91,12.37
2025,2,February,4581,901,3211,5163,641,70.09,19.67,12.42
2025,3,March,4964,815,3665,5627,710,73.83,16.42,12.62
2025,4,April,4866,626,3799,5515,727,78.07,12.86,13.18
2025,5,May,4850,510,3915,5536,725,80.72,10.52,13.1
2025,6,June,4838,439,4018,5463,717,83.05,9.07,13.12
2025,7,July,4912,428,4113,5580,719,83.73,8.71,12.89
2025,8,August,4950,306,4349,5659,686,87.86,6.18,12.12
2025,9,September,4743,271,4187,5380,687,88.28,5.71,12.77
2025,10,October,5006,217,4528,5722,714,90.45,4.33,12.48
2025,11,November,4876,183,4427,5491,720,90.79,3.75,13.11
2025,12,December,4836,167,4430,5466,694,91.6,3.45,12.7
