order_item_id,order_id,product_id,seller_id,quantity,unit_price,discount_pct,platform_fee_pct
OI0000001,ORD000001,P02970,S0327,2,748.0,0.0,0.15
OI0000002,ORD000002,P02457,S0282,1,53361.0,0.0,0.08
OI0000003,ORD000003,P01998,S0310,3,1942.0,0.0,0.13
OI0000004,ORD000004,P02964,S0288,1,21271.0,0.0,0.13
OI0000005,ORD000004,P00822,S0350,1,6373.0,0.21,0.15
OI0000006,ORD000005,P01158,S0178,1,845.0,0.22,0.1
OI0000007,ORD000005,P01543,S0262,2,64391.0,0.0,0.09
OI0000008,ORD000005,P02323,S0061,1,1671.0,0.0,0.09
OI0000009,ORD000005,P02767,S0311,1,917.0,0.16,0.15
OI0000010,ORD000006,P02099,S0326,1,43031.0,0.07,0.07
OI0000011,ORD000006,P02956,S0026,2,13586.0,0.0,0.15
OI0000012,ORD000006,P01579,S0309,1,5907.0,0.1,0.16
OI0000013,ORD000007,P00308,S0044,2,4207.0,0.12,0.16
OI0000014,ORD000007,P01323,S0397,2,990.0,0.12,0.14
OI0000015,ORD000008,P01032,S0350,1,893.0,0.15,0.14
OI0000016,ORD000009,P02030,S0102,3,2104.0,0.0,0.13
OI0000017,ORD000009,P01776,S0019,1,47447.0,0.0,0.07
OI0000018,ORD000010,P00102,S0283,1,26561.0,0.0,0.07
OI0000019,ORD000010,P00780,S0350,1,10845.0,0.0,0.13
OI0000020,ORD000011,P02907,S0044,1,3661.0,0.0,0.15
OI0000021,ORD000012,P00185,S0012,1,24818.0,0.07,0.13
OI0000022,ORD000012,P01062,S0131,2,5423.0,0.0,0.16
OI0000023,ORD000013,P02147,S0002,1,6169.0,0.0,0.15
OI0000024,ORD000013,P02999,S0080,2,5700.0,0.0,0.15
OI0000025,ORD000013,P00616,S0167,1,3662.0,0.0,0.15
OI0000026,ORD000013,P00698,S0124,1,955.0,0.0,0.15
OI0000027,ORD000014,P00572,S0252,1,58654.0,0.1,0.08
OI0000028,ORD000015,P00434,S0236,1,238.0,0.0,0.12
OI0000029,ORD000016,P02581,S0128,1,27335.0,0.0,0.06
OI0000030,ORD000016,P02009,S0387,1,1703.0,0.21,0.13
OI0000031,ORD000017,P00191,S0334,1,20085.0,0.0,0.14
OI0000032,ORD000018,P00987,S0064,1,21247.0,0.0,0.07
OI0000033,ORD000019,P00932,S0252,1,5887.0,0.07,0.14
OI0000034,ORD000020,P02220,S0241,1,999.0,0.23,0.12
OI0000035,ORD000020,P00637,S0349,2,20650.0,0.0,0.15
OI0000036,ORD000021,P00901,S0070,1,38982.0,0.07,0.1
OI0000037,ORD000022,P01538,S0306,1,59001.0,0.14,0.09
OI0000038,ORD000023,P01881,S0386,1,263.0,0.0,0.13
