product_id,category,subcategory,base_price
P00001,Books,Fiction,2717.0
P00002,Grocery,Staples,904.0
P00003,Fashion,Footwear,1205.0
P00004,Grocery,Snacks,1813.0
P00005,Home & Kitchen,Furniture,20760.0
P00006,Fashion,Women's Clothing,2786.0
P00007,Grocery,Staples,114.0
P00008,Electronics,Cameras,37149.0
P00009,Fashion,Men's Clothing,1510.0
P00010,Grocery,Personal Care,1161.0
P00011,Grocery,Staples,1649.0
P00012,Grocery,Staples,808.0
P00013,Books,Fiction,185.0
P00014,Home & Kitchen,Furniture,17128.0
P00015,Home & Kitchen,Furniture,4444.0
P00016,Grocery,Staples,453.0
P00017,Electronics,Cameras,15379.0
P00018,Grocery,Snacks,581.0
P00019,Fashion,Watches,7091.0
P00020,Electronics,Laptops,3255.0
P00021,Electronics,Audio,49725.0
P00022,Home & Kitchen,Decor,6258.0
P00023,Grocery,Staples,611.0
P00024,Books,Non-Fiction,1295.0
P00025,Books,Children's,1697.0
P00026,Grocery,Beverages,150.0
P00027,Electronics,Accessories,22742.0
P00028,Fashion,Women's Clothing,1270.0
P00029,Electronics,Laptops,16357.0
P00030,Fashion,Footwear,7100.0
P00031,Home & Kitchen,Cookware,13216.0
P00032,Home & Kitchen,Cookware,15824.0
P00033,Electronics,Audio,64272.0
P00034,Grocery,Staples,1596.0
P00035,Grocery,Beverages,1979.0
P00036,Fashion,Footwear,6299.0
P00037,Books,Academic,1141.0
P00038,Fashion,Men's Clothing,4447.0
P00039,Fashion,Watches,3980.0
P00040,Grocery,Staples,1828.0
P00041,Fashion,Watches,4119.0
P00042,Books,Fiction,1226.0
P00043,Home & Kitchen,Decor,4618.0
P00044,Home & Kitchen,Decor,8074.0
P00045,Home & Kitchen,Furniture,5593.0
P00046,Grocery,Staples,1795.0
P00047,Electronics,Smartphones,62394.0
P00048,Home & Kitchen,Furniture,1606.0
P00049,Grocery,Beverages,1983.0
P00050,Electronics,Smartphones,42590.0
P00051,Electronics,Laptops,61464.0
P00052,Fashion,Men's Clothing,7997.0
P00053,Home & Kitchen,Appliances,24353.0
P00054,Grocery,Beverages,227.0
P00055,Books,Children's,2005.0
P00056,Home & Kitchen,Decor,6773.0
P00057,Grocery,Snacks,1638.0
P00058,Fashion,Footwear,7355.0
P00059,Home & Kitchen,Decor,1539.0
P00060,Grocery,Snacks,1993.0
P00061,Grocery,Beverages,462.0
P00062,Fashion,Men's Clothing,6803.0
P00063,Electronics,Cameras,63893.0
P00064,Electronics,Laptops,28707.0
P00065,Grocery,Snacks,1683.0
P00066,Books,Non-Fiction,2551.0
P00067,Electronics,Audio,14500.0
P00068,Books,Children's,1818.0
P00069,Electronics,Accessories,64594.0
P00070,Grocery,Snacks,1404.0
P00071,Electronics,Accessories,73161.0
P00072,Home & Kitchen,Cookware,851.0
P00073,Electronics,Laptops,56195.0
P00074,Electronics,Smartphones,75831.0
P00075,Home & Kitchen,Decor,14156.0
P00076,Grocery,Personal Care,1139.0
P00077,Fashion,Footwear,1668.0
P00078,Home & Kitchen,Cookware,24702.0
P00079,Grocery,Snacks,1767.0
P00080,Electronics,Cameras,39632.0
P00081,Home & Kitchen,Decor,7830.0
P00082,Fashion,Women's Clothing,4025.0
P00083,Home & Kitchen,Appliances,2393.0
P00084,Home & Kitchen,Appliances,5931.0
P00085,Fashion,Watches,1907.0
P00086,Electronics,Laptops,42353.0
P00087,Home & Kitchen,Decor,167.0
P00088,Fashion,Women's Clothing,7360.0
P00089,Fashion,Women's Clothing,1771.0
P00090,Electronics,Cameras,10874.0
P00091,Grocery,Beverages,1442.0
P00092,Electronics,Cameras,73543.0
P00093,Fashion,Watches,6785.0
P00094,Home & Kitchen,Appliances,8191.0
P00095,Electronics,Accessories,2242.0
P00096,Electronics,Laptops,47135.0
P00097,Grocery,Snacks,1837.0
P00098,Grocery,Personal Care,1556.0
P00099,Fashion,Men's Clothing,6803.0
P00100,Fashion,Men's Clothing,6913.0
P00101,Fashion,Men's Clothing,7692.0
P00102,Electronics,Laptops,30200.0
P00103,Fashion,Women's Clothing,7547.0
P00104,Home & Kitchen,Appliances,9981.0
P00105,Fashion,Men's Clothing,988.0
P00106,Home & Kitchen,Appliances,7649.0
P00107,Electronics,Audio,11348.0
P00108,Fashion,Watches,1429.0
P00109,Grocery,Beverages,1899.0
P00110,Electronics,Cameras,63451.0
P00111,Electronics,Smartphones,76873.0
P00112,Electronics,Smartphones,52110.0
P00113,Home & Kitchen,Decor,4479.0
P00114,Electronics,Accessories,77515.0
P00115,Books,Fiction,2111.0
P00116,Fashion,Footwear,7445.0
P00117,Books,Children's,2382.0
P00118,Electronics,Laptops,18247.0
P00119,Grocery,Personal Care,1190.0
P00120,Grocery,Staples,375.0
P00121,Fashion,Footwear,2593.0
P00122,Grocery,Snacks,1386.0
P00123,Grocery,Staples,281.0
P00124,Electronics,Accessories,58442.0
P00125,Grocery,Snacks,1899.0
P00126,Grocery,Snacks,1899.0
P00127,Fashion,Footwear,3254.0
P00128,Grocery,Snacks,1989.0
P00129,Fashion,Men's Clothing,7728.0
P00130,Home & Kitchen,Decor,955.0
P00131,Electronics,Audio,48390.0
P00132,Electronics,Smartphones,73723.0
P00133,Fashion,Men's Clothing,7747.0
P00134,Books,Academic,741.0
P00135,Fashion,Footwear,4611.0
P00136,Electronics,Laptops,74967.0
P00137,Fashion,Men's Clothing,1297.0
P00138,Fashion,Women's Clothing,6014.0
P00139,Books,Fiction,790.0
P00140,Electronics,Smartphones,78599.0
P00141,Books,Children's,587.0
P00142,Books,Fiction,2667.0
P00143,Grocery,Snacks,205.0
P00144,Electronics,Laptops,56863.0
P00145,Grocery,Personal Care,1289.0
P00146,Home & Kitchen,Furniture,22183.0
P00147,Fashion,Footwear,3684.0
P00148,Books,Children's,869.0
P00149,Electronics,Laptops,20338.0
P00150,Fashion,Women's Clothing,729.0
P00151,Books,Academic,844.0
P00152,Grocery,Personal Care,243.0
P00153,Grocery,Beverages,33.0
P00154,Electronics,Audio,31182.0
P00155,Home & Kitchen,Appliances,18355.0
P00156,Fashion,Men's Clothing,7759.0
P00157,Home & Kitchen,Furniture,22131.0
P00158,Home & Kitchen,Furniture,12403.0
P00159,Electronics,Smartphones,30608.0
P00160,Fashion,Footwear,4459.0
P00161,Fashion,Men's Clothing,991.0
P00162,Electronics,Cameras,38619.0
P00163,Electronics,Cameras,69192.0
P00164,Electronics,Laptops,52252.0
P00165,Grocery,Snacks,1384.0
P00166,Home & Kitchen,Cookware,4192.0
P00167,Fashion,Men's Clothing,775.0
P00168,Grocery,Staples,1696.0
P00169,Electronics,Laptops,23945.0
P00170,Grocery,Staples,658.0
P00171,Grocery,Staples,1905.0
P00172,Home & Kitchen,Decor,1994.0
P00173,Home & Kitchen,Cookware,4377.0
P00174,Electronics,Cameras,30349.0
P00175,Home & Kitchen,Furniture,18340.0
P00176,Electronics,Accessories,43990.0
P00177,Home & Kitchen,Appliances,22468.0
P00178,Books,Non-Fiction,370.0
P00179,Fashion,Women's Clothing,4833.0
P00180,Electronics,Cameras,49285.0
P00181,Electronics,Cameras,38878.0
P00182,Electronics,Audio,2964.0
P00183,Fashion,Women's Clothing,7551.0
P00184,Home & Kitchen,Appliances,4250.0
P00185,Home & Kitchen,Appliances,22260.0
