order_id,customer_id,created_at,status,payment_method,promised_delivery_date,is_fast_delivery_eligible
ORD000001,C08689,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000002,C12048,2024-07-01,Delivered,NetBanking,2024-07-03,True
ORD000003,C10589,2024-07-01,Delivered,COD,2024-07-03,True
ORD000004,C11558,2024-07-01,Delivered,COD,2024-07-04,False
ORD000005,C05977,2024-07-01,Delivered,Card,2024-07-04,False
ORD000006,C00994,2024-07-01,Delivered,NetBanking,2024-07-03,True
ORD000007,C08307,2024-07-01,Delivered,Card,2024-07-03,True
ORD000008,C08724,2024-07-01,Cancelled,Card,2024-07-03,True
ORD000009,C15080,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000010,C23967,2024-07-01,Delivered,Card,2024-07-05,False
ORD000011,C06762,2024-07-01,Cancelled,COD,2024-07-03,True
ORD000012,C11631,2024-07-01,Delivered,Wallet,2024-07-05,False
ORD000013,C07950,2024-07-01,Delivered,COD,2024-07-06,False
ORD000014,C06588,2024-07-01,Cancelled,COD,2024-07-04,False
ORD000015,C18033,2024-07-01,Delivered,Card,2024-07-03,True
ORD000016,C00794,2024-07-01,Delivered,COD,2024-07-03,True
ORD000017,C19768,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000018,C20816,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000019,C17170,2024-07-01,Delivered,NetBanking,2024-07-03,True
ORD000020,C06760,2024-07-01,Returned,Wallet,2024-07-03,True
ORD000021,C23128,2024-07-01,Delivered,NetBanking,2024-07-03,True
ORD000022,C16339,2024-07-01,Shipped,UPI,2024-07-05,False
ORD000023,C24296,2024-07-01,Delivered,UPI,2024-07-05,False
ORD000024,C09441,2024-07-01,Cancelled,COD,2024-07-03,True
ORD000025,C20589,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000026,C05477,2024-07-01,Delivered,Card,2024-07-03,True
ORD000027,C22188,2024-07-01,Cancelled,NetBanking,2024-07-04,False
ORD000028,C19542,2024-07-01,Delivered,Wallet,2024-07-04,False
ORD000029,C22367,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000030,C19518,2024-07-01,Returned,Wallet,2024-07-04,False
ORD000031,C06448,2024-07-01,Shipped,UPI,2024-07-03,True
ORD000032,C05878,2024-07-01,Delivered,COD,2024-07-05,False
ORD000033,C02247,2024-07-01,Delivered,COD,2024-07-05,False
ORD000034,C12730,2024-07-01,Cancelled,COD,2024-07-03,True
ORD000035,C11687,2024-07-01,Delivered,Card,2024-07-03,True
ORD000036,C05583,2024-07-01,Delivered,COD,2024-07-03,True
ORD000037,C13663,2024-07-01,Delivered,Card,2024-07-05,False
ORD000038,C04671,2024-07-01,Delivered,COD,2024-07-03,True
ORD000039,C09760,2024-07-01,Delivered,UPI,2024-07-05,False
ORD000040,C04041,2024-07-01,Delivered,NetBanking,2024-07-06,False
ORD000041,C18946,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000042,C18983,2024-07-01,Delivered,UPI,2024-07-06,False
ORD000043,C21798,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000044,C13417,2024-07-01,Delivered,NetBanking,2024-07-03,True
ORD000045,C15731,2024-07-01,Shipped,UPI,2024-07-03,True
ORD000046,C15914,2024-07-01,Shipped,Card,2024-07-06,False
ORD000047,C04321,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000048,C09524,2024-07-01,Delivered,UPI,2024-07-04,False
ORD000049,C23514,2024-07-01,Delivered,UPI,2024-07-05,False
ORD000050,C07410,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000051,C14661,2024-07-01,Delivered,UPI,2024-07-04,False
ORD000052,C15225,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000053,C18572,2024-07-01,Cancelled,UPI,2024-07-03,True
ORD000054,C05355,2024-07-01,Delivered,NetBanking,2024-07-03,True
ORD000055,C22812,2024-07-01,Delivered,NetBanking,2024-07-04,False
ORD000056,C24418,2024-07-01,Returned,NetBanking,2024-07-03,True
ORD000057,C13386,2024-07-01,Delivered,Card,2024-07-03,True
ORD000058,C10714,2024-07-01,Delivered,COD,2024-07-03,True
ORD000059,C05934,2024-07-01,Delivered,COD,2024-07-03,True
ORD000060,C10988,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000061,C23554,2024-07-01,Delivered,UPI,2024-07-06,False
ORD000062,C02303,2024-07-01,Delivered,Wallet,2024-07-03,True
ORD000063,C09477,2024-07-01,Delivered,UPI,2024-07-04,False
ORD000064,C20422,2024-07-01,Shipped,Wallet,2024-07-04,False
ORD000065,C18670,2024-07-01,Delivered,Wallet,2024-07-06,False
ORD000066,C14433,2024-07-01,Delivered,COD,2024-07-04,False
ORD000067,C19516,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000068,C18168,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000069,C15641,2024-07-01,Cancelled,NetBanking,2024-07-03,True
ORD000070,C16213,2024-07-01,Delivered,COD,2024-07-06,False
ORD000071,C08642,2024-07-01,Cancelled,UPI,2024-07-04,False
ORD000072,C14494,2024-07-01,Delivered,Wallet,2024-07-03,True
ORD000073,C05964,2024-07-01,Delivered,Card,2024-07-03,True
ORD000074,C23191,2024-07-01,Delivered,Card,2024-07-03,True
ORD000075,C12267,2024-07-01,Delivered,COD,2024-07-03,True
ORD000076,C17570,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000077,C00991,2024-07-01,Delivered,COD,2024-07-03,True
ORD000078,C16041,2024-07-01,Delivered,COD,2024-07-03,True
ORD000079,C15381,2024-07-01,Cancelled,UPI,2024-07-03,True
ORD000080,C08327,2024-07-01,Delivered,Wallet,2024-07-03,True
ORD000081,C22504,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000082,C22249,2024-07-01,Delivered,NetBanking,2024-07-03,True
ORD000083,C05904,2024-07-01,Delivered,Wallet,2024-07-06,False
ORD000084,C18641,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000085,C04310,2024-07-01,Delivered,COD,2024-07-03,True
ORD000086,C18944,2024-07-01,Delivered,Card,2024-07-03,True
ORD000087,C10991,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000088,C24442,2024-07-01,Delivered,COD,2024-07-03,True
ORD000089,C13351,2024-07-01,Delivered,NetBanking,2024-07-03,True
ORD000090,C11034,2024-07-01,Delivered,NetBanking,2024-07-03,True
ORD000091,C11120,2024-07-01,Delivered,UPI,2024-07-06,False
ORD000092,C13520,2024-07-01,Delivered,Card,2024-07-05,False
ORD000093,C02220,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000094,C07926,2024-07-01,Delivered,COD,2024-07-03,True
ORD000095,C21296,2024-07-01,Delivered,UPI,2024-07-04,False
ORD000096,C21887,2024-07-01,Cancelled,Card,2024-07-03,True
ORD000097,C15376,2024-07-01,Cancelled,COD,2024-07-05,False
ORD000098,C15567,2024-07-01,Delivered,Card,2024-07-03,True
ORD000099,C00525,2024-07-01,Delivered,COD,2024-07-05,False
ORD000100,C15994,2024-07-01,Delivered,COD,2024-07-03,True
ORD000101,C11276,2024-07-01,Cancelled,UPI,2024-07-03,True
ORD000102,C23381,2024-07-01,Shipped,Card,2024-07-03,True
ORD000103,C23679,2024-07-01,Delivered,COD,2024-07-03,True
ORD000104,C21069,2024-07-01,Delivered,Card,2024-07-03,True
ORD000105,C00748,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000106,C08081,2024-07-01,Delivered,Wallet,2024-07-03,True
ORD000107,C21057,2024-07-01,Shipped,Card,2024-07-03,True
ORD000108,C08571,2024-07-01,Returned,UPI,2024-07-03,True
ORD000109,C13981,2024-07-01,Cancelled,Card,2024-07-04,False
ORD000110,C24982,2024-07-01,Delivered,UPI,2024-07-04,False
ORD000111,C09957,2024-07-01,Returned,COD,2024-07-03,True
ORD000112,C18946,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000113,C13741,2024-07-01,Delivered,Wallet,2024-07-03,True
ORD000114,C17933,2024-07-01,Delivered,Wallet,2024-07-03,True
ORD000115,C16443,2024-07-01,Cancelled,UPI,2024-07-03,True
ORD000116,C21543,2024-07-01,Returned,Card,2024-07-03,True
ORD000117,C00703,2024-07-01,Returned,NetBanking,2024-07-04,False
ORD000118,C03777,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000119,C01838,2024-07-01,Delivered,Wallet,2024-07-03,True
ORD000120,C10485,2024-07-01,Delivered,Card,2024-07-06,False
ORD000121,C00732,2024-07-01,Delivered,NetBanking,2024-07-04,False
ORD000122,C03300,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000123,C02722,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000124,C02379,2024-07-01,Delivered,Wallet,2024-07-04,False
ORD000125,C11510,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000126,C13783,2024-07-01,Delivered,Card,2024-07-03,True
ORD000127,C04979,2024-07-01,Delivered,COD,2024-07-03,True
ORD000128,C03237,2024-07-01,Cancelled,Card,2024-07-03,True
ORD000129,C01848,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000130,C19442,2024-07-01,Delivered,Card,2024-07-05,False
ORD000131,C10082,2024-07-01,Delivered,COD,2024-07-03,True
ORD000132,C03221,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000133,C24678,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000134,C02535,2024-07-01,Delivered,UPI,2024-07-06,False
ORD000135,C12512,2024-07-01,Cancelled,Card,2024-07-03,True
ORD000136,C11901,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000137,C13617,2024-07-01,Delivered,COD,2024-07-03,True
ORD000138,C23135,2024-07-01,Delivered,COD,2024-07-03,True
ORD000139,C12917,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000140,C08765,2024-07-01,Shipped,UPI,2024-07-03,True
ORD000141,C13744,2024-07-01,Cancelled,COD,2024-07-03,True
ORD000142,C19877,2024-07-01,Cancelled,COD,2024-07-03,True
ORD000143,C09330,2024-07-01,Delivered,COD,2024-07-03,True
ORD000144,C22566,2024-07-01,Delivered,Wallet,2024-07-06,False
ORD000145,C04804,2024-07-01,Delivered,Wallet,2024-07-05,False
ORD000146,C22532,2024-07-01,Delivered,Wallet,2024-07-03,True
ORD000147,C17117,2024-07-01,Cancelled,UPI,2024-07-03,True
ORD000148,C18004,2024-07-01,Shipped,Wallet,2024-07-06,False
ORD000149,C20931,2024-07-01,Delivered,Card,2024-07-03,True
ORD000150,C15969,2024-07-01,Delivered,COD,2024-07-03,True
ORD000151,C03177,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000152,C00081,2024-07-01,Delivered,Card,2024-07-03,True
ORD000153,C21694,2024-07-01,Delivered,Wallet,2024-07-04,False
ORD000154,C24735,2024-07-01,Cancelled,COD,2024-07-03,True
ORD000155,C17159,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000156,C12764,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000157,C19467,2024-07-01,Delivered,UPI,2024-07-04,False
ORD000158,C04261,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000159,C12280,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000160,C24428,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000161,C18597,2024-07-01,Delivered,NetBanking,2024-07-03,True
ORD000162,C11854,2024-07-01,Delivered,UPI,2024-07-03,True
ORD000163,C15487,2024-07-01,Delivered,Card,2024-07-03,True
ORD000164,C04324,2024-07-02,Cancelled,UPI,2024-07-04,True
ORD000165,C18387,2024-07-02,Delivered,NetBanking,2024-07-05,False
ORD000166,C15673,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000167,C15393,2024-07-02,Delivered,Card,2024-07-04,True
ORD000168,C20444,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000169,C09115,2024-07-02,Delivered,Wallet,2024-07-04,True
ORD000170,C05100,2024-07-02,Delivered,NetBanking,2024-07-06,False
ORD000171,C24727,2024-07-02,Delivered,COD,2024-07-04,True
ORD000172,C06342,2024-07-02,Cancelled,NetBanking,2024-07-04,True
ORD000173,C07351,2024-07-02,Returned,UPI,2024-07-04,True
ORD000174,C10871,2024-07-02,Returned,UPI,2024-07-07,False
ORD000175,C08051,2024-07-02,Delivered,COD,2024-07-04,True
ORD000176,C14422,2024-07-02,Delivered,UPI,2024-07-05,False
ORD000177,C12763,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000178,C05538,2024-07-02,Delivered,NetBanking,2024-07-05,False
ORD000179,C10800,2024-07-02,Delivered,Card,2024-07-04,True
ORD000180,C10939,2024-07-02,Delivered,Wallet,2024-07-04,True
ORD000181,C12605,2024-07-02,Delivered,COD,2024-07-06,False
ORD000182,C13728,2024-07-02,Delivered,UPI,2024-07-07,False
ORD000183,C14544,2024-07-02,Delivered,Card,2024-07-07,False
ORD000184,C02711,2024-07-02,Delivered,NetBanking,2024-07-04,True
ORD000185,C06106,2024-07-02,Shipped,UPI,2024-07-07,False
ORD000186,C08636,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000187,C10880,2024-07-02,Delivered,Wallet,2024-07-04,True
ORD000188,C18436,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000189,C10858,2024-07-02,Shipped,UPI,2024-07-04,True
ORD000190,C05821,2024-07-02,Returned,Card,2024-07-05,False
ORD000191,C18338,2024-07-02,Delivered,Card,2024-07-04,True
ORD000192,C08559,2024-07-02,Delivered,Card,2024-07-04,True
ORD000193,C22593,2024-07-02,Returned,Card,2024-07-04,True
ORD000194,C21910,2024-07-02,Delivered,UPI,2024-07-06,False
ORD000195,C22930,2024-07-02,Cancelled,UPI,2024-07-04,True
ORD000196,C03259,2024-07-02,Delivered,NetBanking,2024-07-04,True
ORD000197,C11387,2024-07-02,Delivered,COD,2024-07-04,True
ORD000198,C21464,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000199,C21356,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000200,C10000,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000201,C03608,2024-07-02,Delivered,NetBanking,2024-07-04,True
ORD000202,C19761,2024-07-02,Delivered,COD,2024-07-04,True
ORD000203,C13110,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000204,C08314,2024-07-02,Delivered,Wallet,2024-07-06,False
ORD000205,C19972,2024-07-02,Delivered,Wallet,2024-07-07,False
ORD000206,C06289,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000207,C02106,2024-07-02,Shipped,UPI,2024-07-04,True
ORD000208,C03483,2024-07-02,Returned,UPI,2024-07-04,True
ORD000209,C21716,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000210,C06028,2024-07-02,Shipped,Wallet,2024-07-04,True
ORD000211,C09617,2024-07-02,Delivered,UPI,2024-07-07,False
ORD000212,C14223,2024-07-02,Shipped,UPI,2024-07-07,False
ORD000213,C03058,2024-07-02,Delivered,COD,2024-07-06,False
ORD000214,C10959,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000215,C22276,2024-07-02,Delivered,Wallet,2024-07-04,True
ORD000216,C15868,2024-07-02,Delivered,COD,2024-07-04,True
ORD000217,C02963,2024-07-02,Delivered,COD,2024-07-05,False
ORD000218,C13475,2024-07-02,Delivered,Wallet,2024-07-04,True
ORD000219,C19525,2024-07-02,Delivered,Wallet,2024-07-04,True
ORD000220,C12901,2024-07-02,Cancelled,UPI,2024-07-07,False
ORD000221,C12935,2024-07-02,Delivered,Wallet,2024-07-05,False
ORD000222,C20832,2024-07-02,Shipped,NetBanking,2024-07-04,True
ORD000223,C02567,2024-07-02,Delivered,NetBanking,2024-07-04,True
ORD000224,C07947,2024-07-02,Delivered,Card,2024-07-04,True
ORD000225,C24914,2024-07-02,Delivered,UPI,2024-07-05,False
ORD000226,C20548,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000227,C06434,2024-07-02,Delivered,Card,2024-07-04,True
ORD000228,C17875,2024-07-02,Delivered,COD,2024-07-05,False
ORD000229,C06989,2024-07-02,Delivered,NetBanking,2024-07-04,True
ORD000230,C20379,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000231,C19551,2024-07-02,Delivered,UPI,2024-07-06,False
ORD000232,C19356,2024-07-02,Delivered,Card,2024-07-04,True
ORD000233,C01407,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000234,C22939,2024-07-02,Delivered,UPI,2024-07-05,False
ORD000235,C20320,2024-07-02,Delivered,UPI,2024-07-07,False
ORD000236,C08390,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000237,C12511,2024-07-02,Delivered,COD,2024-07-07,False
ORD000238,C20243,2024-07-02,Delivered,COD,2024-07-06,False
ORD000239,C24894,2024-07-02,Delivered,NetBanking,2024-07-07,False
ORD000240,C23775,2024-07-02,Delivered,Card,2024-07-06,False
ORD000241,C15438,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000242,C12976,2024-07-02,Shipped,Card,2024-07-04,True
ORD000243,C05746,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000244,C08864,2024-07-02,Delivered,COD,2024-07-04,True
ORD000245,C00885,2024-07-02,Cancelled,UPI,2024-07-04,True
ORD000246,C15628,2024-07-02,Delivered,Wallet,2024-07-06,False
ORD000247,C08020,2024-07-02,Delivered,Card,2024-07-07,False
ORD000248,C09291,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000249,C06163,2024-07-02,Delivered,UPI,2024-07-05,False
ORD000250,C01593,2024-07-02,Returned,NetBanking,2024-07-04,True
ORD000251,C18961,2024-07-02,Delivered,COD,2024-07-04,True
ORD000252,C11771,2024-07-02,Cancelled,NetBanking,2024-07-05,False
ORD000253,C22915,2024-07-02,Delivered,Card,2024-07-06,False
ORD000254,C04339,2024-07-02,Delivered,Card,2024-07-07,False
ORD000255,C23889,2024-07-02,Delivered,COD,2024-07-06,False
ORD000256,C16835,2024-07-02,Delivered,COD,2024-07-07,False
ORD000257,C14780,2024-07-02,Delivered,Wallet,2024-07-04,True
ORD000258,C24490,2024-07-02,Delivered,Card,2024-07-06,False
ORD000259,C03091,2024-07-02,Cancelled,UPI,2024-07-07,False
ORD000260,C13994,2024-07-02,Delivered,UPI,2024-07-06,False
ORD000261,C21783,2024-07-02,Delivered,Card,2024-07-04,True
ORD000262,C20231,2024-07-02,Delivered,Card,2024-07-04,True
ORD000263,C13826,2024-07-02,Returned,UPI,2024-07-04,True
ORD000264,C05570,2024-07-02,Cancelled,NetBanking,2024-07-04,True
ORD000265,C06886,2024-07-02,Delivered,COD,2024-07-04,True
ORD000266,C09525,2024-07-02,Delivered,Card,2024-07-04,True
ORD000267,C02828,2024-07-02,Delivered,Wallet,2024-07-04,True
ORD000268,C22667,2024-07-02,Cancelled,Wallet,2024-07-04,True
ORD000269,C09391,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000270,C18309,2024-07-02,Returned,NetBanking,2024-07-07,False
ORD000271,C11746,2024-07-02,Delivered,COD,2024-07-06,False
ORD000272,C03891,2024-07-02,Delivered,Wallet,2024-07-04,True
ORD000273,C19045,2024-07-02,Delivered,Card,2024-07-04,True
ORD000274,C07933,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000275,C14363,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000276,C22337,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000277,C21924,2024-07-02,Delivered,NetBanking,2024-07-05,False
ORD000278,C01558,2024-07-02,Cancelled,COD,2024-07-04,True
ORD000279,C20402,2024-07-02,Delivered,Card,2024-07-04,True
ORD000280,C04902,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000281,C14522,2024-07-02,Delivered,Wallet,2024-07-07,False
ORD000282,C05572,2024-07-02,Delivered,Card,2024-07-04,True
ORD000283,C08567,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000284,C17179,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000285,C00460,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000286,C23649,2024-07-02,Delivered,UPI,2024-07-07,False
ORD000287,C22699,2024-07-02,Delivered,COD,2024-07-04,True
ORD000288,C08628,2024-07-02,Shipped,UPI,2024-07-04,True
ORD000289,C20477,2024-07-02,Delivered,COD,2024-07-04,True
ORD000290,C06503,2024-07-02,Delivered,COD,2024-07-04,True
ORD000291,C00945,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000292,C22048,2024-07-02,Delivered,UPI,2024-07-04,True
ORD000293,C09802,2024-07-02,Delivered,COD,2024-07-05,False
