shipment_id,order_id,carrier,shipped_at,delivered_at,ship_from_city,ship_to_city,shipping_cost,delivery_status
SH000001,ORD000001,Ekart,2024-07-01 13:00:27,2024-07-02 18:41:52,Mumbai,Delhi,95.33,OnTime
SH000002,ORD000002,Delhivery,2024-07-01 16:17:32,2024-07-03 04:35:14,Delhi,Kochi,109.57,Late_1_2d
SH000003,ORD000003,Delhivery,2024-07-01 14:39:14,2024-07-02 21:48:54,Jaipur,Kolkata,77.16,OnTime
SH000004,ORD000004,Ekart,2024-07-01 15:26:20,2024-07-02 22:42:59,Kolkata,Ahmedabad,56.16,OnTime
SH000005,ORD000005,InHouse,2024-07-01 16:03:13,2024-07-02 05:22:51,Mumbai,Mumbai,40.27,OnTime
SH000006,ORD000006,Delhivery,2024-07-01 12:19:03,2024-07-02 23:15:02,Mumbai,Chennai,106.84,OnTime
SH000007,ORD000007,InHouse,2024-07-01 04:52:37,2024-07-02 00:10:45,Mumbai,Mumbai,36.81,OnTime
SH000008,ORD000009,BlueDart,2024-07-01 15:29:58,2024-07-02 07:33:31,Hyderabad,Bangalore,120.32,OnTime
SH000009,ORD000010,InHouse,2024-07-01 15:54:45,2024-07-02 16:31:20,Lucknow,Delhi,47.69,OnTime
SH000010,ORD000012,Delhivery,2024-07-01 10:53:41,2024-07-07 17:06:34,Chennai,Lucknow,77.26,Late_3_5d
SH000011,ORD000013,InHouse,2024-07-01 15:26:19,2024-07-02 10:06:31,Delhi,Delhi,45.78,OnTime
SH000012,ORD000015,Delhivery,2024-07-01 12:10:30,2024-07-02 07:59:16,Jaipur,Pune,126.43,OnTime
SH000013,ORD000016,Ekart,2024-07-01 13:10:00,2024-07-03 02:04:06,Bangalore,Chennai,79.93,Late_1_2d
SH000014,ORD000017,Ekart,2024-07-01 16:13:21,2024-07-02 06:40:01,Hyderabad,Mumbai,102.61,OnTime
SH000015,ORD000018,Delhivery,2024-07-01 16:07:44,2024-07-03 03:56:20,Pune,Pune,69.08,Late_1_2d
SH000016,ORD000019,Delhivery,2024-07-01 08:16:04,2024-07-02 03:50:14,Pune,Delhi,124.31,OnTime
SH000017,ORD000020,BlueDart,2024-07-01 07:40:58,2024-07-02 12:52:31,Delhi,Delhi,69.91,OnTime
SH000018,ORD000021,InHouse,2024-07-01 10:06:48,2024-07-02 04:27:40,Delhi,Delhi,51.61,OnTime
SH000019,ORD000022,BlueDart,2024-07-01 08:53:00,,Hyderabad,Hyderabad,80.35,InTransit
SH000020,ORD000023,Delhivery,2024-07-01 09:19:39,2024-07-02 01:51:38,Pune,Pune,59.94,OnTime
SH000021,ORD000025,BlueDart,2024-07-01 14:24:34,2024-07-02 05:21:48,Bangalore,Ahmedabad,118.6,OnTime
SH000022,ORD000026,Delhivery,2024-07-01 09:24:45,2024-07-02 18:13:19,Bangalore,Delhi,63.39,OnTime
